CURclassMarker,numTestsEstimated,doneTests,numCrashes,numCandidates,numRaces,time,memory,testMode,not_tested, false_positive, benign, order-dependent, violating, harmful
Running Actul test environment
CURclassMarker,1607,183,38,330,320,1.782,35,i,10,0,301,19,0,0
CURclassMarker,1607,184,38,330,320,1.791,35,i,10,0,301,19,0,0
CURclassMarker,1607,185,38,330,320,1.8,35,i,10,0,301,19,0,0
CURclassMarker,1607,186,38,330,320,1.809,35,i,10,0,301,19,0,0
CURclassMarker,1607,187,39,330,320,1.818,35,i,10,0,301,19,0,0
CURclassMarker,1607,188,39,330,320,1.827,35,i,10,0,301,19,0,0
CURclassMarker,1607,189,39,330,320,1.838,35,i,10,0,301,19,0,0
CURclassMarker,1607,190,39,330,320,1.847,35,i,10,0,301,19,0,0
CURclassMarker,1607,191,40,330,320,1.857,35,i,10,0,301,19,0,0
CURclassMarker,1607,192,40,330,320,1.865,35,i,10,0,301,19,0,0
CURclassMarker,1607,193,40,330,320,1.874,35,i,10,0,301,19,0,0
CURclassMarker,1607,194,40,330,320,1.883,35,i,10,0,301,19,0,0
CURclassMarker,1607,195,41,330,320,1.893,35,i,10,0,301,19,0,0
CURclassMarker,1607,196,41,330,320,1.901,35,i,10,0,301,19,0,0
CURclassMarker,1607,197,41,330,320,1.91,35,i,10,0,301,19,0,0
CURclassMarker,1607,198,41,330,320,1.919,35,i,10,0,301,19,0,0
CURclassMarker,1607,199,42,330,320,1.928,35,i,10,0,301,19,0,0
CURclassMarker,1607,200,42,330,320,1.937,35,i,10,0,301,19,0,0
CURclassMarker,1607,201,42,330,320,1.947,35,i,10,0,301,19,0,0
CURclassMarker,1607,202,42,330,320,1.97,35,i,10,0,301,19,0,0
CURclassMarker,1607,203,43,330,320,1.981,35,i,10,0,301,19,0,0
CURclassMarker,1607,204,43,330,320,1.99,35,i,10,0,301,19,0,0
CURclassMarker,1607,205,43,330,320,1.999,35,i,10,0,301,19,0,0
CURclassMarker,1607,206,43,330,320,2.008,35,i,10,0,301,19,0,0
CURclassMarker,1607,207,44,330,320,2.017,35,i,10,0,301,19,0,0
CURclassMarker,1607,208,44,330,320,2.026,35,i,10,0,301,19,0,0
